mode,PC,explained_variance_ratio,explained_variance_percent,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
width_profile,PC1,0.8512337627894112,85.12337627894112,0.8512337627894112,85.12337627894112
width_profile,PC2,0.081131113312022,8.1131113312022,0.9323648761014331,93.23648761014331
width_profile,PC3,0.036962384980578016,3.6962384980578014,0.9693272610820112,96.93272610820112
width_profile,PC4,0.01521996104894405,1.521996104894405,0.9845472221309552,98.45472221309552
width_profile,PC5,0.006869897261154796,0.6869897261154796,0.9914171193921101,99.141711939211
width_profile,PC6,0.0031325548090200407,0.31325548090200406,0.9945496742011302,99.45496742011302
width_profile,PC7,0.002341143914151492,0.2341143914151492,0.9968908181152817,99.68908181152817
width_profile,PC8,0.0009611950505119608,0.09611950505119608,0.9978520131657936,99.78520131657936
width_profile,PC9,0.0006837309488298365,0.06837309488298365,0.9985357441146234,99.85357441146235
width_profile,PC10,0.00037325723129350734,0.03732572312935074,0.998909001345917,99.8909001345917
